,SalePrice,age,FullBath,HalfBath,BedroomAbvGr,YrSold,Top5,LotArea,YearBuilt,GrLivArea,GarageArea,FancyHouse,TallHouse,LessDense,GarageCars,TotalBsmtSF,exterior,aircon,kitQ,BFT,OverallCond,OverallQual,ABNORMAL
0,208500,7,2,1,3,2008,0,8450,2003,1710,548,1,1,1,2,856,2,1,0,1,5,7,0
1,181500,34,2,0,3,2007,1,9600,1976,1262,460,1,0,1,2,1262,1,1,0,0,8,6,0
2,223500,9,2,1,3,2008,0,11250,2001,1786,608,1,1,1,2,920,2,1,0,1,5,7,0
3,140000,95,1,0,3,2006,0,9550,1915,1717,642,1,1,1,3,756,0,1,0,0,5,7,1
4,250000,10,2,1,4,2008,1,14260,2000,2198,836,1,1,1,3,1145,2,1,0,1,5,8,0
5,143000,17,1,1,1,2009,0,14115,1993,1362,480,1,0,1,2,796,2,1,0,1,5,5,0
6,307000,6,2,0,3,2007,0,10084,2004,1694,636,1,0,1,2,1686,2,1,0,1,5,8,0
7,200000,37,2,1,3,2009,0,10382,1973,2090,484,1,1,1,2,1107,0,1,0,0,6,7,0
8,129900,79,2,0,2,2008,0,6120,1931,1774,468,1,0,0,2,952,0,1,0,0,5,7,1
9,118000,71,1,0,2,2008,0,7420,1939,1077,205,0,0,1,1,991,0,1,0,1,6,5,0
10,129500,45,1,0,3,2008,0,11200,1965,1040,384,1,0,1,1,1040,0,1,0,0,5,5,0
11,345000,5,3,0,4,2006,1,11924,2005,2324,736,1,1,1,3,1175,0,1,1,1,5,9,0
12,144000,48,1,0,2,2008,0,12968,1962,912,352,1,0,1,1,912,0,1,0,0,6,5,0
13,279500,4,2,0,3,2007,0,10652,2006,1494,840,1,0,1,3,1494,2,1,0,0,5,7,0
14,157000,50,1,1,2,2008,0,10920,1960,1253,352,1,0,1,1,1253,0,1,0,0,5,6,0
15,132000,81,1,0,2,2007,0,6120,1929,854,576,1,0,0,2,832,0,1,0,0,8,7,0
16,149000,40,1,0,2,2010,0,11241,1970,1004,480,1,0,1,2,1004,0,1,0,0,7,6,0
17,90000,43,2,0,2,2006,0,10791,1967,1296,516,0,0,1,2,0,0,1,0,0,5,4,0
18,159000,6,1,1,3,2008,0,13695,2004,1114,576,1,0,1,2,1114,2,1,0,1,5,5,0
19,139000,52,1,0,3,2009,0,7560,1958,1339,294,1,0,1,1,1029,0,1,0,0,6,5,1
20,325300,5,3,1,4,2006,1,14215,2005,2376,853,1,1,1,3,1158,2,1,0,0,5,8,0
21,139400,80,1,0,3,2007,0,7449,1930,1108,280,1,0,0,1,637,0,1,0,0,7,7,0
22,230000,8,2,0,3,2008,0,9742,2002,1795,534,1,0,1,2,1777,2,1,0,0,5,8,0
23,129900,34,1,0,3,2007,0,4224,1976,1060,572,1,0,0,2,1040,1,1,0,1,7,5,0
24,154000,42,1,0,3,2010,0,8246,1968,1060,270,1,0,1,1,1060,0,1,0,0,8,5,0
25,256300,3,2,0,3,2009,1,14230,2007,1600,890,1,0,1,3,1566,2,1,0,0,5,8,0
26,134800,59,1,0,3,2010,0,7200,1951,900,576,1,0,1,2,900,0,1,0,0,7,5,0
27,306000,3,2,0,3,2010,1,11478,2007,1704,772,1,0,1,3,1704,2,1,0,1,5,8,0
28,207500,53,1,0,2,2006,0,16321,1957,1600,319,1,0,1,1,1484,0,1,0,0,6,5,0
29,68500,83,1,0,1,2008,0,6324,1927,520,240,1,0,0,1,520,0,0,0,0,6,4,0
