,SalePrice,FullBath,HalfBath,BedroomAbvGr,YrSold,Top5,LotArea,YearBuilt,GrLivArea,GarageArea,FancyHouse,TallHouse,LessDense,GarageCars,TotalBsmtSF
0,208500,2,1,3,2008,0,8450,2003,1710,548,1,1,1,2,856
1,181500,2,0,3,2007,1,9600,1976,1262,460,1,0,1,2,1262
2,223500,2,1,3,2008,0,11250,2001,1786,608,1,1,1,2,920
3,140000,1,0,3,2006,0,9550,1915,1717,642,1,1,1,3,756
4,250000,2,1,4,2008,1,14260,2000,2198,836,1,1,1,3,1145
5,143000,1,1,1,2009,0,14115,1993,1362,480,1,0,1,2,796
6,307000,2,0,3,2007,0,10084,2004,1694,636,1,0,1,2,1686
7,200000,2,1,3,2009,0,10382,1973,2090,484,1,1,1,2,1107
8,129900,2,0,2,2008,0,6120,1931,1774,468,1,0,0,2,952
9,118000,1,0,2,2008,0,7420,1939,1077,205,0,0,1,1,991
10,129500,1,0,3,2008,0,11200,1965,1040,384,1,0,1,1,1040
11,345000,3,0,4,2006,1,11924,2005,2324,736,1,1,1,3,1175
12,144000,1,0,2,2008,0,12968,1962,912,352,1,0,1,1,912
13,279500,2,0,3,2007,0,10652,2006,1494,840,1,0,1,3,1494
14,157000,1,1,2,2008,0,10920,1960,1253,352,1,0,1,1,1253
15,132000,1,0,2,2007,0,6120,1929,854,576,1,0,0,2,832
16,149000,1,0,2,2010,0,11241,1970,1004,480,1,0,1,2,1004
17,90000,2,0,2,2006,0,10791,1967,1296,516,0,0,1,2,0
18,159000,1,1,3,2008,0,13695,2004,1114,576,1,0,1,2,1114
19,139000,1,0,3,2009,0,7560,1958,1339,294,1,0,1,1,1029
20,325300,3,1,4,2006,1,14215,2005,2376,853,1,1,1,3,1158
21,139400,1,0,3,2007,0,7449,1930,1108,280,1,0,0,1,637
22,230000,2,0,3,2008,0,9742,2002,1795,534,1,0,1,2,1777
23,129900,1,0,3,2007,0,4224,1976,1060,572,1,0,0,2,1040
24,154000,1,0,3,2010,0,8246,1968,1060,270,1,0,1,1,1060
25,256300,2,0,3,2009,1,14230,2007,1600,890,1,0,1,3,1566
26,134800,1,0,3,2010,0,7200,1951,900,576,1,0,1,2,900
27,306000,2,0,3,2010,1,11478,2007,1704,772,1,0,1,3,1704
28,207500,1,0,2,2006,0,16321,1957,1600,319,1,0,1,1,1484
29,68500,1,0,1,2008,0,6324,1927,520,240,1,0,0,1,520
31,149350,1,1,3,2008,0,8544,1966,1228,271,1,0,1,1,1228
32,179900,2,0,3,2008,0,11049,2007,1234,484,1,0,1,2,1234
33,165500,1,1,4,2010,0,10552,1959,1700,447,1,0,1,2,1398
34,277500,2,0,2,2007,1,7313,2005,1561,556,1,0,1,2,1561
35,309000,3,1,4,2006,1,13418,2004,2452,691,1,1,1,3,1117
36,145000,1,1,3,2009,0,10859,1994,1097,672,1,0,1,2,1097
